Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
Bensinstasjon;323;Kartverket;Gyldig;03.01.2022;1;Bensinstasjon. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/323;
Bibliotek, mediatek;642;Kartverket;Gyldig;03.01.2022;1;Bibliotek. mediatek. bygning for utlån av bøker, lydbøker, filmer, aviser o.l. Moderne bibliotek/mediatek har ofte tilgjengelig PC gjerne med Internett-tilknytning.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/642;
Bo- og behandlingssenter;722;Kartverket;Gyldig;03.01.2022;1;Bo- og behandlingssenter. institusjoner der man bor permanent og samtidig har tilgang til et behandlingstilbud.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/722;
Bo- og servicesenter;151;Kartverket;Gyldig;03.01.2022;1;Bo- og servicesenter. bo- og servicesenter. For eldre, utviklingshemmede, funksjonshemmede mv;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/151;
Boligbrakker;193;Kartverket;Gyldig;03.01.2022;1;Boligbrakker. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/193;
Brannstasjon, ambulansestasjon;822;Kartverket;Gyldig;03.01.2022;1;Brannstasjon. ambulansestasjon. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/822;
Butikkbygning;322;Kartverket;Gyldig;03.01.2022;1;Butikk/forretningsbygning. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/322;
Bygning for renseanlegg;214;Kartverket;Gyldig;03.01.2022;1;Bygning for renseanlegg. bygning for renseanlegg, bl.a. kloakkpumpestasjon;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/214;
Bygning for vannforsyning;216;Kartverket;Gyldig;03.01.2022;1;Bygning for vannforsyning, bl.a. pumpestasjon.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/216;
Camping- /utleiehytte;524;Kartverket;Gyldig;03.01.2022;1;Camping- /utleiehytte. enklere overnattingshytte fortrinnsvis beregnet for bilturister. Som regel er de knyttet til en campingplass. Gjestene holder vanligvis sengetøy selv  Utleiehytte : Et lite hus med høy, middels eller lav standard, til midlertidig opphold. Oftest større og bedre standard enn en campinghytte, ofte ikke beliggende på en campingplass, men mer spredt i terrenget. Moderne utleiehytter har ofte høy standard og flere er ofte knyttet til et senter med vakt, kiosk/forretning og andre fasiliteter. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/524;
Diskotek;663;Kartverket;Gyldig;03.01.2022;1;Diskotek. bygning for ungdomsaktiviteter, særlig knyttet til musikk og dans - drevet på forretningsmessig basis.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/663;
Driftsbygning fiske/fangst/oppdr;244;Kartverket;Gyldig;03.01.2022;1;Driftsbygning for fiske og fangst inkludert oppdrettsanlegg;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/244;
Ekspedisjonsbygning, flyterminal, kontrolltårn;411;Kartverket;Gyldig;03.01.2022;1;ekspedisjonsbygning, flyterminal, kontrolltårn;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/411;
Enebolig;111;Kartverket;Gyldig;03.01.2022;1;Enebolig. frittliggende bygning med kun en boligenhet;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/111;
Enebolig m/hybel/sokkelleil.;112;Kartverket;Gyldig;03.01.2022;1;Enebolig m/hybel/sokkelleil.. enebolig som i tillegg inneholder en eller flere hybler el.l., som minimum dekkes av SSBs krav til hybel;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/112;
Fabrikkbygning;211;Kartverket;Gyldig;03.01.2022;1;Fabrikkbygning. bygning for industriell serieproduksjon;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/211;
Fyrstasjon, losstasjon;823;Kartverket;Gyldig;03.01.2022;1;Fyrstasjon. losstasjon. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/823;
Garasje, uthus, anneks til bolig;181;Kartverket;Gyldig;03.01.2022;1;Garasje, uthus , anneks knyttet til bolig.  Garasje: F rittliggende bygning som primært benyttes for parkering av bil. Kan i tillegg inneholde boder o.l.  Uthus: F rittliggende bygning som benyttes til oppbevaring av redskap, ved, materialer o.l.  Anneks : Frittliggende bygg beregnet for overnatting og er ingen selvstendig boenhet for varig opphold. Det skal ikke registreres bruksareal til bolig på slike bygg.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/181;
Garasje, uthus, anneks til fritidbolig;182;Kartverket;Gyldig;03.01.2022;1;Garasje, uthus , anneks knyttet til fritidsbolig.  Garasje: F rittliggende bygning som primært benyttes for parkering av bil. Kan i tillegg inneholde boder o.l.  Uthus: F rittliggende bygning som benyttes til oppbevaring av redskap, ved, materialer o.l.  Anneks : Frittliggende bygg beregnet for overnatting og er ingen selvstendig boenhet for varig opphold. Det skal ikke registreres bruksareal til bolig på slike bygg.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/182;
Gatekjøkken, kioskbygning;533;Kartverket;Gyldig;03.01.2022;1;Gatekjøkken, kioskbygning, gatekjøkken, kioskbygning;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/533;
Godsterminal;415;Kartverket;Gyldig;03.01.2022;1;Godsterminal. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/415;
Helse- og sosialsenter, helsestasjon;732;Kartverket;Gyldig;03.01.2022;1;Helse-/sosialsent. helsestasj.. senter som inneholder tilbud som f.eks. fysioterapi, kiroprakti, akupunktur, alternative behandlingsformer etc.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/732;
